No,種別,店名(日本語読み),店名(ハングル),ジャンル,料理の詳細,犬の同伴,テラス席,エリア(日),エリア(韓),区,住所(ハングル),緯度,経度,評価,口コミ数,業態,Googleマップ,NAVERマップ,DiningCode,カテゴリ原文(韓)
70,カフェ,オーカーショア,오커쇼어,ベーカリー,ベーカリー・コーヒー,店内OK,なし,社稷洞（サジクドン）,사직동,鍾路区,서울특별시 종로구 사직로 130 지상1층 2호,37.5753767,126.9733437,4.4,13,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5753767%2C126.9733437,https://map.naver.com/p/search/%EC%98%A4%EC%BB%A4%EC%87%BC%EC%96%B4%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%A2%85%EB%A1%9C%EA%B5%AC%20%EC%82%AC%EC%A7%81%EB%A1%9C%20130%20%EC%A7%80%EC%83%811%EC%B8%B5%202%ED%98%B8,https://www.diningcode.com/profile.php?rid=R9V5BbfNKa2C,"베이커리, 아메리카노"
71,カフェ,ワンサード,원써드 서촌,カフェ,コーヒー・自家焙煎,店内OK,あり,西村（ソチョン）,서촌,鍾路区,서울 종로구 필운대로 43,37.5798626,126.9685924,4.1,8,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5798626%2C126.9685924,https://map.naver.com/p/search/%EC%9B%90%EC%8D%A8%EB%93%9C%20%EC%84%9C%EC%9A%B8%20%EC%A2%85%EB%A1%9C%EA%B5%AC%20%ED%95%84%EC%9A%B4%EB%8C%80%EB%A1%9C%2043,https://www.diningcode.com/profile.php?rid=x6uYr6pZFHDg,"카페, 커피"
72,カフェ,西村茶菓房,서촌다과방 경복궁역,韓国茶カフェ,伝統茶・韓菓（韓屋カフェ）,店内OK,あり,西村（ソチョン）,서촌,鍾路区,서울특별시 종로구 필운대로 6 서촌다과방,37.5765794,126.9693426,5,2,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5765794%2C126.9693426,https://map.naver.com/p/search/%EC%84%9C%EC%B4%8C%EB%8B%A4%EA%B3%BC%EB%B0%A9%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%A2%85%EB%A1%9C%EA%B5%AC%20%ED%95%84%EC%9A%B4%EB%8C%80%EB%A1%9C%206%20%EC%84%9C%EC%B4%8C%EB%8B%A4%EA%B3%BC%EB%B0%A9,https://www.diningcode.com/profile.php?rid=dwHbD418YTe2,"카페, 한옥카페"
73,カフェ,クレスタウン 狎鴎亭,크레스타운 압구정점,カフェ,コーヒー・デザート,店内OK,なし,狎鴎亭（アックジョン）,압구정,江南区,"서울특별시 강남구 압구정로46길 5-2 1층 104호, 105호",37.5279654,127.0368352,4.7,2,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5279654%2C127.0368352,https://map.naver.com/p/search/%ED%81%AC%EB%A0%88%EC%8A%A4%ED%83%80%EC%9A%B4%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%95%95%EA%B5%AC%EC%A0%95%EB%A1%9C46%EA%B8%B8%205-2%201%EC%B8%B5%20104%ED%98%B8%2C%20105%ED%98%B8,https://www.diningcode.com/profile.php?rid=wqXFVxMbk9iq,"카페, 커피"
74,カフェ,カフェ エンバイコン,카페 엔바이콘 논현점,カフェ,ブランチ・コーヒー,店内OK,あり,論峴洞（ノニョンドン）,논현동,江南区,"서울특별시 강남구 논현로149길 66 지하 1,2층",37.5172519,127.0229663,4.4,2,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5172519%2C127.0229663,https://map.naver.com/p/search/%EC%B9%B4%ED%8E%98%20%EC%97%94%EB%B0%94%EC%9D%B4%EC%BD%98%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EB%85%BC%ED%98%84%EB%A1%9C149%EA%B8%B8%2066%20%EC%A7%80%ED%95%98%201%2C2%EC%B8%B5,https://www.diningcode.com/profile.php?rid=SFHZBpEPCyPL,"카페, 브런치"
75,カフェ,アロハタートル,알로하터틀 양재천,カフェ,アサイーボウル・スムージー,店内OK,なし,良才川（ヤンジェチョン）,양재천,江南区,"서울특별시 강남구 양재천로 169 지하1층, 지상1층 알로하터틀",37.4817033,127.0449277,4,1,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.4817033%2C127.0449277,https://map.naver.com/p/search/%EC%95%8C%EB%A1%9C%ED%95%98%ED%84%B0%ED%8B%80%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%96%91%EC%9E%AC%EC%B2%9C%EB%A1%9C%20169%20%EC%A7%80%ED%95%981%EC%B8%B5%2C%20%EC%A7%80%EC%83%811%EC%B8%B5%20%EC%95%8C%EB%A1%9C%ED%95%98%ED%84%B0%ED%8B%80,https://www.diningcode.com/profile.php?rid=nDw2rdGA5gZk,"카페, 아사이볼"
76,カフェ,セカンドブレス,세컨브레스 양재천,カフェ,コーヒー・デザート,店内OK,あり,良才川（ヤンジェチョン）,양재천,瑞草区,서울특별시 서초구 양재천로 95-2 1층,37.476084,127.0397931,4.1,16,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.476084%2C127.0397931,https://map.naver.com/p/search/%EC%84%B8%EC%BB%A8%EB%B8%8C%EB%A0%88%EC%8A%A4%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%96%91%EC%9E%AC%EC%B2%9C%EB%A1%9C%2095-2%201%EC%B8%B5,https://www.diningcode.com/profile.php?rid=YnvRGOkZnM8L,카페
77,カフェ,リヨリヨコーヒー,리요리요커피 이수역,カフェ,クロッフル・コーヒー,店内OK,なし,方背洞（パンベドン）,방배동,瑞草区,서울특별시 서초구 방배천로18길 11 아르떼상가 B동 104호 리요리요커피,37.4828082,126.9836324,4.6,14,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.4828082%2C126.9836324,https://map.naver.com/p/search/%EB%A6%AC%EC%9A%94%EB%A6%AC%EC%9A%94%EC%BB%A4%ED%94%BC%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%9C%EC%B4%88%EA%B5%AC%20%EB%B0%A9%EB%B0%B0%EC%B2%9C%EB%A1%9C18%EA%B8%B8%2011%20%EC%95%84%EB%A5%B4%EB%96%BC%EC%83%81%EA%B0%80%20B%EB%8F%99%20104%ED%98%B8%20%EB%A6%AC%EC%9A%94%EB%A6%AC%EC%9A%94%EC%BB%A4%ED%94%BC,https://www.diningcode.com/profile.php?rid=bs1veUGsHESF,"카페, 크로플"
78,カフェ,リフレクトコーヒー,리플렉트커피 로스팅 랩 양재,コーヒー専門,自家焙煎コーヒー,店内OK,なし,瑞草洞（ソチョドン）,서초동,瑞草区,서울특별시 서초구 남부순환로347길 53 104호,37.4867162,127.0308995,4.5,10,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.4867162%2C127.0308995,https://map.naver.com/p/search/%EB%A6%AC%ED%94%8C%EB%A0%89%ED%8A%B8%EC%BB%A4%ED%94%BC%20%EB%A1%9C%EC%8A%A4%ED%8C%85%20%EB%9E%A9%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%9C%EC%B4%88%EA%B5%AC%20%EB%82%A8%EB%B6%80%EC%88%9C%ED%99%98%EB%A1%9C347%EA%B8%B8%2053%20104%ED%98%B8,https://www.diningcode.com/profile.php?rid=7yWYYhZBGlX9,"카페, 커피"
79,カフェ,モンタク 方背,몬탁 방배,ベーカリー,ベーカリー・コーヒー,店内OK,あり,方背洞（パンベドン）,방배동,瑞草区,서울특별시 서초구 서초대로25길 54 1층,37.4901635,126.9931435,4.5,9,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.4901635%2C126.9931435,https://map.naver.com/p/search/%EB%AA%AC%ED%83%81%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%84%9C%EC%B4%88%EB%8C%80%EB%A1%9C25%EA%B8%B8%2054%201%EC%B8%B5,https://www.diningcode.com/profile.php?rid=OYQijcl8pVuh,"베이커리, 커피"
80,カフェ,リフレッシャス,리프레셔스 사당,カフェ,コーヒー・デザート,店内OK,なし,方背洞（パンベドン）,방배동,瑞草区,서울특별시 서초구 청두곶6길 8 1층 리프레셔스,37.4793886,126.9856186,4.9,10,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.4793886%2C126.9856186,https://map.naver.com/p/search/%EB%A6%AC%ED%94%84%EB%A0%88%EC%85%94%EC%8A%A4%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%B2%AD%EB%91%90%EA%B3%B66%EA%B8%B8%208%201%EC%B8%B5%20%EB%A6%AC%ED%94%84%EB%A0%88%EC%85%94%EC%8A%A4,https://www.diningcode.com/profile.php?rid=qNYZ576ABtxH,"카페, 커피"
81,カフェ,アディクティブ,어딕티브 논현역,コーヒー専門,シングルオリジンコーヒー,店内OK,なし,盤浦洞（パンポドン）,반포동,瑞草区,서울 서초구 주흥길 64-17 102호,37.5090231,127.0194378,3.9,6,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5090231%2C127.0194378,https://map.naver.com/p/search/%EC%96%B4%EB%94%95%ED%8B%B0%EB%B8%8C%20%EC%84%9C%EC%9A%B8%20%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%A3%BC%ED%9D%A5%EA%B8%B8%2064-17%20102%ED%98%B8,https://www.diningcode.com/profile.php?rid=rsYZQth75JvO,"커피, 콜롬비아"
82,カフェ,ハーフパウンド,하프파운드 석촌고분역,ベーカリー,パン・焼き菓子,店内OK,なし,石村（ソクチョン）,석촌,松坡区,서울특별시 송파구 백제고분로33길 10 2층 하프파운드,37.5035013,127.0988917,4.3,15,軽飲食店,https://www.google.com/maps/search/?api=1&query=37.5035013%2C127.0988917,https://map.naver.com/p/search/%ED%95%98%ED%94%84%ED%8C%8C%EC%9A%B4%EB%93%9C%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%86%A1%ED%8C%8C%EA%B5%AC%20%EB%B0%B1%EC%A0%9C%EA%B3%A0%EB%B6%84%EB%A1%9C33%EA%B8%B8%2010%202%EC%B8%B5%20%ED%95%98%ED%94%84%ED%8C%8C%EC%9A%B4%EB%93%9C,https://www.diningcode.com/profile.php?rid=E2093SEACaVG,베이커리
83,カフェ,アーキビスト 松坡,아키비스트 송파점,ベーカリーカフェ,パン・コーヒー,店内OK,あり,松坡洞（ソンパドン）,송파동,松坡区,"서울 송파구 오금로16길 4 지하1층, 지상1층, 2층",37.511098,127.1091126,4,12,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.511098%2C127.1091126,https://map.naver.com/p/search/%EC%95%84%ED%82%A4%EB%B9%84%EC%8A%A4%ED%8A%B8%20%EC%84%9C%EC%9A%B8%20%EC%86%A1%ED%8C%8C%EA%B5%AC%20%EC%98%A4%EA%B8%88%EB%A1%9C16%EA%B8%B8%204%20%EC%A7%80%ED%95%981%EC%B8%B5%2C%20%EC%A7%80%EC%83%811%EC%B8%B5%2C%202%EC%B8%B5,https://www.diningcode.com/profile.php?rid=0gipr3V0JQUY,"베이커리, 카페"
84,カフェ,ストーン&ウォーター,스톤앤워터 올림픽공원,カフェ,コーヒー（オリンピック公園近く）,店内OK,あり,芳荑洞（パンイドン）,방이동,松坡区,서울특별시 송파구 가락로 283 1층 스톤앤워터,37.5131451,127.1199032,4,10,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5131451%2C127.1199032,https://map.naver.com/p/search/%EC%8A%A4%ED%86%A4%EC%95%A4%EC%9B%8C%ED%84%B0%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%86%A1%ED%8C%8C%EA%B5%AC%20%EA%B0%80%EB%9D%BD%EB%A1%9C%20283%201%EC%B8%B5%20%EC%8A%A4%ED%86%A4%EC%95%A4%EC%9B%8C%ED%84%B0,https://www.diningcode.com/profile.php?rid=CzNzMSsrCwm7,"커피, 카페"
85,カフェ,キューキューキューキュー,큐큐큐큐 송파나루역,カフェ,コーヒー・デザート,店内OK,あり,松坡ナル駅,송파나루,松坡区,서울특별시 송파구 오금로20길 4 1층 103호,37.5093327,127.1132989,4.8,5,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5093327%2C127.1132989,https://map.naver.com/p/search/%ED%81%90%ED%81%90%ED%81%90%ED%81%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%86%A1%ED%8C%8C%EA%B5%AC%20%EC%98%A4%EA%B8%88%EB%A1%9C20%EA%B8%B8%204%201%EC%B8%B5%20103%ED%98%B8,https://www.diningcode.com/profile.php?rid=9GQ31WYTmqtP,카페
86,カフェ,クリームベーグル 蚕室店,크림베이글 잠실점,ベーカリー,ベーグル・クリームベーグル,店内OK,あり,石村（ソクチョン）,석촌,松坡区,서울특별시 송파구 송파대로 473 1층 크림베이글 잠실점,37.5082546,127.1039918,4.5,2,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5082546%2C127.1039918,https://map.naver.com/p/search/%ED%81%AC%EB%A6%BC%EB%B2%A0%EC%9D%B4%EA%B8%80%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%86%A1%ED%8C%8C%EA%B5%AC%20%EC%86%A1%ED%8C%8C%EB%8C%80%EB%A1%9C%20473%201%EC%B8%B5%20%ED%81%AC%EB%A6%BC%EB%B2%A0%EC%9D%B4%EA%B8%80%20%EC%9E%A0%EC%8B%A4%EC%A0%90,https://www.diningcode.com/profile.php?rid=4pTePn0t6eG4,"베이글, 크림베이글"
87,カフェ,チェリーコーヒー 君子,체리커피 군자점,カフェ,コーヒー・デザート,店内OK,なし,陵洞（ヌンドン）,능동,広津区,서울특별시 광진구 능동로 284,37.5551555,127.0787247,4.1,29,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5551555%2C127.0787247,https://map.naver.com/p/search/%EC%B2%B4%EB%A6%AC%EC%BB%A4%ED%94%BC%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B4%91%EC%A7%84%EA%B5%AC%20%EB%8A%A5%EB%8F%99%EB%A1%9C%20284,https://www.diningcode.com/profile.php?rid=22R4xce5h5KK,"카페, 커피"
88,カフェ,グッティンコーヒー,굿띵커피 아차산,コーヒー専門,自家焙煎コーヒー,店内OK,なし,峨嵯山（アチャサン）,아차산,広津区,서울특별시 광진구 영화사로 51 1동 1층 101호,37.555702,127.0923936,4.5,12,軽飲食店,https://www.google.com/maps/search/?api=1&query=37.555702%2C127.0923936,https://map.naver.com/p/search/%EA%B5%BF%EB%9D%B5%EC%BB%A4%ED%94%BC%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B4%91%EC%A7%84%EA%B5%AC%20%EC%98%81%ED%99%94%EC%82%AC%EB%A1%9C%2051%201%EB%8F%99%201%EC%B8%B5%20101%ED%98%B8,https://www.diningcode.com/profile.php?rid=i4DIO6xBAj5s,"커피, 카페"
89,カフェ,プッシュコーヒー,푸쉬 커피 아차산,コーヒー専門,スペシャルティコーヒー,店内OK,なし,九宜洞（クイドン）,구의동,広津区,서울특별시 광진구 자양로45길 24-3 푸쉬커피,37.5523284,127.0913165,4.3,13,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5523284%2C127.0913165,https://map.naver.com/p/search/%ED%91%B8%EC%89%AC%20%EC%BB%A4%ED%94%BC%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EA%B4%91%EC%A7%84%EA%B5%AC%20%EC%9E%90%EC%96%91%EB%A1%9C45%EA%B8%B8%2024-3%20%ED%91%B8%EC%89%AC%EC%BB%A4%ED%94%BC,https://www.diningcode.com/profile.php?rid=QfJue9fTWa0V,"커피, 카페"
90,カフェ,ミンギジョク,밍기적 증산역,カフェ,キャロットケーキ・コーヒー,店内OK,あり,繒山（チュンサン）,증산,西大門区,서울특별시 서대문구 불광천길 274 1층,37.5862878,126.9132768,4.8,7,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5862878%2C126.9132768,https://map.naver.com/p/search/%EB%B0%8D%EA%B8%B0%EC%A0%81%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%9C%EB%8C%80%EB%AC%B8%EA%B5%AC%20%EB%B6%88%EA%B4%91%EC%B2%9C%EA%B8%B8%20274%201%EC%B8%B5,https://www.diningcode.com/profile.php?rid=xQX66ZNxnJB5,"카페, 당근케이크"
91,カフェ,コーヒー店 トンギョン 延禧,커피가게 동경 연희점,コーヒー専門,アインシュペナー・コーヒー,店内OK,なし,延禧洞（ヨニドン）,연희동,西大門区,서울특별시 서대문구 연희맛로 23,37.5670966,126.929608,4.7,6,軽飲食店,https://www.google.com/maps/search/?api=1&query=37.5670966%2C126.929608,https://map.naver.com/p/search/%EC%BB%A4%ED%94%BC%EA%B0%80%EA%B2%8C%20%EB%8F%99%EA%B2%BD%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%9C%EB%8C%80%EB%AC%B8%EA%B5%AC%20%EC%97%B0%ED%9D%AC%EB%A7%9B%EB%A1%9C%2023,https://www.diningcode.com/profile.php?rid=etd1wm531Lp7,"커피, 아인슈페너"
92,カフェ,ニルジェラート,닐젤라또 연희동,ジェラート,ジェラート・ソルベ,店内OK,なし,延禧洞（ヨニドン）,연희동,西大門区,서울특별시 서대문구 연희맛로 17-7 1층 101호,37.5668682,126.9291748,3.4,2,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5668682%2C126.9291748,https://map.naver.com/p/search/%EB%8B%90%EC%A0%A4%EB%9D%BC%EB%98%90%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%9C%EB%8C%80%EB%AC%B8%EA%B5%AC%20%EC%97%B0%ED%9D%AC%EB%A7%9B%EB%A1%9C%2017-7%201%EC%B8%B5%20101%ED%98%B8,https://www.diningcode.com/profile.php?rid=4Xt90us73oX0,"젤라또, 소르베"
93,カフェ,ポエットルーム,포엣룸 문래,ブックカフェ,本のあるカフェ,店内OK,なし,文来（ムンレ）,문래,永登浦区,서울특별시 영등포구 도림로141가길 4 1층 포엣룸,37.5148956,126.8926397,4.5,15,軽飲食店,https://www.google.com/maps/search/?api=1&query=37.5148956%2C126.8926397,https://map.naver.com/p/search/%ED%8F%AC%EC%97%A3%EB%A3%B8%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%98%81%EB%93%B1%ED%8F%AC%EA%B5%AC%20%EB%8F%84%EB%A6%BC%EB%A1%9C141%EA%B0%80%EA%B8%B8%204%201%EC%B8%B5%20%ED%8F%AC%EC%97%A3%EB%A3%B8,https://www.diningcode.com/profile.php?rid=evvm1BhoD8RM,"카페, 북카페"
94,カフェ,ユーアーマイジェラート,you are my gelato 문래,ジェラート,ジェラート・ソルベ,店内OK,なし,文来（ムンレ）,문래,永登浦区,서울특별시 영등포구 도림로 425 1층 유아마이젤라또,37.513855,126.8955174,4,11,軽飲食店,https://www.google.com/maps/search/?api=1&query=37.513855%2C126.8955174,https://map.naver.com/p/search/you%20are%20my%20gelato%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%98%81%EB%93%B1%ED%8F%AC%EA%B5%AC%20%EB%8F%84%EB%A6%BC%EB%A1%9C%20425%201%EC%B8%B5%20%EC%9C%A0%EC%95%84%EB%A7%88%EC%9D%B4%EC%A0%A4%EB%9D%BC%EB%98%90,https://www.diningcode.com/profile.php?rid=KXizOEI8uQTH,"젤라또, 소르베"
95,カフェ,ヘビーローテイト,헤비로테이트 영등포,カフェ,コーヒー・デザート,店内OK,なし,道林洞（トリムドン）,도림동,永登浦区,서울특별시 영등포구 도신로19길 22,37.5081924,126.8996738,4.5,10,軽飲食店,https://www.google.com/maps/search/?api=1&query=37.5081924%2C126.8996738,https://map.naver.com/p/search/%ED%97%A4%EB%B9%84%EB%A1%9C%ED%85%8C%EC%9D%B4%ED%8A%B8%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%98%81%EB%93%B1%ED%8F%AC%EA%B5%AC%20%EB%8F%84%EC%8B%A0%EB%A1%9C19%EA%B8%B8%2022,https://www.diningcode.com/profile.php?rid=t2xJoE1F1vBy,"카페, 커피"
96,カフェ,アイル,아일 한성대입구역,カフェ,デザート・コーヒー,店内OK,あり,漢城大入口,한성대입구,城北区,서울특별시 성북구 삼선교로11길 34 1층,37.5890742,127.0105363,4.1,28,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5890742%2C127.0105363,https://map.naver.com/p/search/%EC%95%84%EC%9D%BC%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%B6%81%EA%B5%AC%20%EC%82%BC%EC%84%A0%EA%B5%90%EB%A1%9C11%EA%B8%B8%2034%201%EC%B8%B5,https://www.diningcode.com/profile.php?rid=uPCZn78SDUnR,"카페, 디저트"
97,カフェ,ヘロコーヒー,해로커피 성북동,韓屋カフェ,韓屋カフェ・コーヒー,店内OK,あり,城北洞（ソンブクトン）,성북동,城北区,서울특별시 성북구 성북로 19-3,37.5896387,127.0042807,4.3,19,軽飲食店,https://www.google.com/maps/search/?api=1&query=37.5896387%2C127.0042807,https://map.naver.com/p/search/%ED%95%B4%EB%A1%9C%EC%BB%A4%ED%94%BC%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%B6%81%EA%B5%AC%20%EC%84%B1%EB%B6%81%EB%A1%9C%2019-3,https://www.diningcode.com/profile.php?rid=46fUpR4jfAMc,"카페, 한옥카페"
98,カフェ,コーヒーストア,커피스토어 보문역,コーヒー専門,コーヒー,店内OK,なし,安岩（アナム）,안암,城北区,서울특별시 성북구 안암로5길 72,37.5821746,127.0227554,4.5,4,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5821746%2C127.0227554,https://map.naver.com/p/search/%EC%BB%A4%ED%94%BC%EC%8A%A4%ED%86%A0%EC%96%B4%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%84%B1%EB%B6%81%EA%B5%AC%20%EC%95%88%EC%95%94%EB%A1%9C5%EA%B8%B8%2072,https://www.diningcode.com/profile.php?rid=h1sKY6Fwd5GC,"카페, 커피"
99,カフェ,サル,사루 약수역,カフェ,コーヒー・デザート,店内OK,なし,薬水（ヤクス）,약수,中区,서울특별시 중구 동호로12길 53 1층,37.5575655,127.0116173,4.7,13,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.5575655%2C127.0116173,https://map.naver.com/p/search/%EC%82%AC%EB%A3%A8%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%A4%91%EA%B5%AC%20%EB%8F%99%ED%98%B8%EB%A1%9C12%EA%B8%B8%2053%201%EC%B8%B5,https://www.diningcode.com/profile.php?rid=NHHXUK1TrpWU,"카페, 커피"
100,カフェ,97.7華氏,97.7화씨 왕십리,カフェ,コーヒー（ヴィンテージ空間）,店内OK,なし,黄鶴洞（ファンハクトン）,황학동,中区,서울특별시 중구 난계로15길 41-7 지층 97.7화씨,37.568687,127.0215853,4.5,2,一般飲食店,https://www.google.com/maps/search/?api=1&query=37.568687%2C127.0215853,https://map.naver.com/p/search/97.7%ED%99%94%EC%94%A8%20%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C%20%EC%A4%91%EA%B5%AC%20%EB%82%9C%EA%B3%84%EB%A1%9C15%EA%B8%B8%2041-7%20%EC%A7%80%EC%B8%B5%2097.7%ED%99%94%EC%94%A8,https://www.diningcode.com/profile.php?rid=ujLO9Vl1ihek,"카페, 커피"
